InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,ProductID,Category
INV-518373,STK0006,Sneakers,29,2023-09-11,79.0,10029,Germany,6,Clothing
INV-454508,STK0001,Smartphone,38,2023-01-08,499.0,10010,United Kingdom,1,Electronics
INV-340062,STK0002,Laptop,3,2023-09-01,999.0,10036,Ireland,2,Electronics
INV-324643,STK0009,Desk Lamp,9,2024-08-13,25.0,10061,Netherlands,9,Home
INV-922733,STK0008,Toaster,27,2024-03-17,35.0,10046,Italy,8,Home
INV-531071,STK0008,Toaster,47,2024-10-23,35.0,10013,United Kingdom,8,Home
INV-522179,STK0006,Sneakers,7,2024-04-04,79.0,10018,Italy,6,Clothing
INV-292401,STK0005,Jeans,30,2024-03-29,39.0,10071,Germany,5,Clothing
INV-153045,STK0009,Desk Lamp,1,2025-05-19,25.0,10031,France,9,Home
INV-526156,STK0008,Toaster,31,2023-03-02,35.0,10022,Italy,8,Home
INV-102260,STK0007,Blender,17,2023-10-20,45.0,10055,Belgium,7,Home
INV-794022,STK0008,Toaster,10,2023-03-01,35.0,10075,Belgium,8,Home
INV-163918,STK0006,Sneakers,4,2025-07-30,79.0,10068,France,6,Clothing
INV-159642,STK0009,Desk Lamp,6,2023-03-11,25.0,10087,Netherlands,9,Home
INV-523389,STK0002,Laptop,37,2024-09-26,999.0,10011,Italy,2,Electronics
INV-789305,STK0010,Novel Book,37,2023-07-29,12.0,10086,Spain,10,Books
INV-350280,STK0005,Jeans,26,2024-04-13,39.0,10041,Germany,5,Clothing
INV-109767,STK0008,Toaster,40,2023-03-17,35.0,10069,Netherlands,8,Home
INV-630458,STK0005,Jeans,9,2025-06-19,39.0,10032,Spain,5,Clothing
INV-398830,STK0003,Headphones,29,2024-09-18,59.0,10084,Belgium,3,Electronics
INV-108203,STK0009,Desk Lamp,20,2025-06-18,25.0,10018,Norway,9,Home
INV-221035,STK0002,Laptop,48,2024-09-11,999.0,10027,Spain,2,Electronics
INV-313487,STK0005,Jeans,33,2025-05-16,39.0,10007,Germany,5,Clothing
INV-765095,STK0007,Blender,18,2023-05-14,45.0,10082,Norway,7,Home
INV-269430,STK0008,Toaster,36,2023-04-25,35.0,10010,France,8,Home
INV-672092,STK0001,Smartphone,24,2023-05-11,499.0,10006,Norway,1,Electronics
INV-482364,STK0001,Smartphone,23,2023-04-16,499.0,10046,Belgium,1,Electronics
INV-526117,STK0010,Novel Book,48,2025-06-04,12.0,10021,France,10,Books
INV-532322,STK0001,Smartphone,12,2025-08-11,499.0,10053,Netherlands,1,Electronics
INV-379766,STK0003,Headphones,45,2025-05-29,59.0,10061,Netherlands,3,Electronics
INV-309267,STK0008,Toaster,23,2023-08-22,35.0,10029,United Kingdom,8,Home
INV-792094,STK0004,T-Shirt,26,2025-03-02,19.0,10036,Spain,4,Clothing
INV-772642,STK0009,Desk Lamp,26,2023-12-06,25.0,10004,Germany,9,Home
INV-373903,STK0003,Headphones,38,2023-04-22,59.0,10077,Italy,3,Electronics
INV-462479,STK0006,Sneakers,28,2024-01-30,79.0,10074,Netherlands,6,Clothing
INV-367095,STK0001,Smartphone,46,2025-04-05,499.0,10069,Netherlands,1,Electronics
INV-481913,STK0007,Blender,5,2024-09-30,45.0,10041,Germany,7,Home
INV-854717,STK0005,Jeans,33,2024-02-17,39.0,10090,Norway,5,Clothing
INV-681343,STK0003,Headphones,13,2024-11-24,59.0,10096,France,3,Electronics
INV-745414,STK0010,Novel Book,20,2023-11-08,12.0,10037,Netherlands,10,Books
INV-550770,STK0010,Novel Book,39,2024-03-28,12.0,10087,Netherlands,10,Books
INV-636004,STK0008,Toaster,48,2024-06-11,35.0,10085,Portugal,8,Home
INV-451470,STK0002,Laptop,49,2025-04-05,999.0,10026,France,2,Electronics
INV-125611,STK0001,Smartphone,16,2025-02-25,499.0,10010,Ireland,1,Electronics
INV-534572,STK0010,Novel Book,13,2024-02-14,12.0,10032,France,10,Books
INV-787926,STK0001,Smartphone,49,2025-03-08,499.0,10055,Netherlands,1,Electronics
INV-284430,STK0009,Desk Lamp,30,2025-05-18,25.0,10016,Ireland,9,Home
INV-239816,STK0008,Toaster,43,2023-11-21,35.0,10097,Ireland,8,Home
INV-742412,STK0009,Desk Lamp,28,2025-07-07,25.0,10021,Ireland,9,Home
INV-571932,STK0005,Jeans,49,2025-02-23,39.0,10100,Belgium,5,Clothing
INV-608136,STK0004,T-Shirt,18,2023-08-29,19.0,10035,Spain,4,Clothing
INV-435239,STK0009,Desk Lamp,6,2024-12-11,25.0,10020,Netherlands,9,Home
INV-167348,STK0007,Blender,27,2023-03-05,45.0,10027,Italy,7,Home
INV-508396,STK0010,Novel Book,-45,2024-08-12,12.0,10049,Ireland,10,Books
INV-106182,STK0006,Sneakers,20,2025-05-05,79.0,10054,Belgium,6,Clothing
INV-883826,STK0009,Desk Lamp,39,2023-10-07,25.0,10056,Ireland,9,Home
INV-130434,STK0007,Blender,22,2025-01-11,45.0,10022,Ireland,7,Home
INV-233827,STK0010,Novel Book,35,2024-07-31,12.0,10085,United Kingdom,10,Books
INV-188025,STK0007,Blender,9,2023-09-24,45.0,10049,Spain,7,Home
INV-321941,STK0008,Toaster,21,2023-10-12,35.0,10097,Italy,8,Home
INV-364525,STK0002,Laptop,-31,2023-12-25,999.0,10029,Germany,2,Electronics
INV-919182,STK0001,Smartphone,49,2025-05-09,499.0,10003,Portugal,1,Electronics
INV-259784,STK0004,T-Shirt,9,2023-08-12,19.0,10060,Norway,4,Clothing
INV-904150,STK0006,Sneakers,11,2025-01-05,79.0,10015,France,6,Clothing
INV-426147,STK0002,Laptop,38,2024-11-24,999.0,10049,Italy,2,Electronics
INV-849747,STK0004,T-Shirt,5,2023-09-06,19.0,10014,Norway,4,Clothing
INV-991597,STK0010,Novel Book,8,2023-02-12,12.0,10045,Belgium,10,Books
INV-549186,STK0006,Sneakers,5,2025-05-19,79.0,10054,Ireland,6,Clothing
INV-210665,STK0007,Blender,24,2024-12-25,45.0,10020,Italy,7,Home
INV-284692,STK0009,Desk Lamp,42,2024-07-05,25.0,10100,Ireland,9,Home
INV-587455,STK0007,Blender,47,2023-09-09,45.0,10012,Norway,7,Home
INV-572700,STK0004,T-Shirt,49,2024-01-24,19.0,10044,United Kingdom,4,Clothing
INV-618317,STK0006,Sneakers,12,2023-09-22,79.0,10044,Norway,6,Clothing
INV-725113,STK0005,Jeans,-36,2023-03-29,39.0,10031,Italy,5,Clothing
INV-612311,STK0009,Desk Lamp,49,2024-12-29,25.0,10063,Ireland,9,Home
INV-931450,STK0001,Smartphone,6,2023-09-07,499.0,10040,Portugal,1,Electronics
INV-486945,STK0008,Toaster,36,2025-02-02,35.0,10071,Spain,8,Home
INV-468900,STK0008,Toaster,18,2025-01-08,35.0,10025,Spain,8,Home
INV-225362,STK0009,Desk Lamp,49,2025-01-26,25.0,10062,Norway,9,Home
INV-859782,STK0010,Novel Book,49,2023-04-13,12.0,10025,Norway,10,Books
INV-338533,STK0006,Sneakers,12,2023-05-10,79.0,10036,United Kingdom,6,Clothing
INV-157174,STK0009,Desk Lamp,19,2025-06-08,25.0,10097,Ireland,9,Home
INV-207570,STK0001,Smartphone,37,2023-12-15,499.0,10024,United Kingdom,1,Electronics
INV-364742,STK0008,Toaster,8,2023-03-17,35.0,10074,United Kingdom,8,Home
INV-259097,STK0003,Headphones,37,2023-09-12,59.0,10016,Belgium,3,Electronics
INV-901577,STK0007,Blender,39,2025-03-05,45.0,10067,Italy,7,Home
INV-572398,STK0008,Toaster,20,2023-11-09,35.0,10073,Portugal,8,Home
INV-163156,STK0010,Novel Book,48,2024-10-02,12.0,10028,Norway,10,Books
INV-792509,STK0002,Laptop,11,2023-06-10,999.0,10001,Italy,2,Electronics
INV-572387,STK0010,Novel Book,31,2024-12-24,12.0,10037,Ireland,10,Books
INV-174637,STK0004,T-Shirt,17,2024-11-08,19.0,10026,Italy,4,Clothing
INV-220351,STK0009,Desk Lamp,15,2025-04-26,25.0,10019,Germany,9,Home
INV-162535,STK0003,Headphones,20,2025-08-01,59.0,10037,Ireland,3,Electronics
INV-230394,STK0008,Toaster,45,2023-10-06,35.0,10065,Belgium,8,Home
INV-617781,STK0008,Toaster,6,2025-01-22,35.0,10042,Portugal,8,Home
INV-362529,STK0001,Smartphone,6,2025-05-31,499.0,10074,Portugal,1,Electronics
INV-121753,STK0005,Jeans,37,2024-04-26,39.0,10067,Ireland,5,Clothing
INV-391668,STK0003,Headphones,38,2023-04-04,59.0,10061,Spain,3,Electronics
INV-528184,STK0006,Sneakers,21,2023-12-04,79.0,10053,Ireland,6,Clothing
INV-402218,STK0007,Blender,49,2023-11-19,45.0,10033,Spain,7,Home
INV-221552,STK0007,Blender,33,2025-06-09,0.0,10070,Ireland,7,Home
INV-533321,STK0001,Smartphone,13,2024-05-25,499.0,10081,Ireland,1,Electronics
INV-896907,STK0001,Smartphone,14,2023-10-22,499.0,10057,Ireland,1,Electronics
INV-227324,STK0001,Smartphone,41,2023-06-12,499.0,10040,Belgium,1,Electronics
INV-114338,STK0009,Desk Lamp,27,2025-07-23,25.0,10015,Ireland,9,Home
INV-223172,STK0003,Headphones,32,2024-12-23,59.0,10035,Italy,3,Electronics
INV-975271,STK0008,Toaster,31,2024-01-28,35.0,10025,Portugal,8,Home
INV-632929,STK0003,Headphones,5,2024-02-29,59.0,10044,Belgium,3,Electronics
INV-380150,STK0001,Smartphone,19,2024-08-16,499.0,10085,Ireland,1,Electronics
INV-255813,STK0008,Toaster,35,2025-02-20,35.0,10070,Italy,8,Home
INV-577463,STK0006,Sneakers,13,2024-01-28,79.0,10030,Italy,6,Clothing
INV-145767,STK0006,Sneakers,48,2024-01-26,79.0,10050,France,6,Clothing
INV-619389,STK0001,Smartphone,9,2025-06-09,499.0,10013,Ireland,1,Electronics
INV-204555,STK0009,Desk Lamp,-30,2025-06-10,25.0,10084,France,9,Home
INV-178463,STK0008,Toaster,17,2024-10-27,35.0,10011,Spain,8,Home
INV-993744,STK0009,Desk Lamp,25,2025-06-27,25.0,10098,Ireland,9,Home
INV-667296,STK0001,Smartphone,40,2025-08-01,499.0,10037,Netherlands,1,Electronics
INV-883041,STK0002,Laptop,28,2024-12-21,999.0,10013,Ireland,2,Electronics
INV-274446,STK0005,Jeans,2,2023-10-28,39.0,10046,Spain,5,Clothing
INV-551607,STK0003,Headphones,16,2025-03-22,59.0,10024,France,3,Electronics
INV-283573,STK0002,Laptop,40,2023-09-04,999.0,10064,Portugal,2,Electronics
INV-250069,STK0004,T-Shirt,30,2024-11-13,19.0,10002,Ireland,4,Clothing
INV-401603,STK0009,Desk Lamp,11,2024-08-24,25.0,10039,Italy,9,Home
INV-823846,STK0005,Jeans,30,2024-01-29,39.0,10062,Germany,5,Clothing
INV-348728,STK0007,Blender,37,2024-12-17,45.0,10038,United Kingdom,7,Home
INV-970357,STK0007,Blender,-18,2025-03-07,45.0,10096,United Kingdom,7,Home
INV-735863,STK0008,Toaster,19,2025-04-01,35.0,10046,Netherlands,8,Home
INV-767542,STK0004,T-Shirt,40,2025-02-24,19.0,10085,France,4,Clothing
INV-758765,STK0002,Laptop,41,2024-03-27,999.0,10005,Portugal,2,Electronics
INV-482584,STK0003,Headphones,6,2024-03-01,59.0,10023,Netherlands,3,Electronics
INV-238579,STK0009,Desk Lamp,24,2025-04-30,25.0,10022,Norway,9,Home
INV-964749,STK0008,Toaster,19,2023-04-28,35.0,10060,Germany,8,Home
INV-247594,STK0004,T-Shirt,44,2025-05-16,19.0,10072,Spain,4,Clothing
INV-194689,STK0007,Blender,1,2024-01-13,45.0,10087,Norway,7,Home
INV-712955,STK0007,Blender,41,2023-08-28,45.0,10061,United Kingdom,7,Home
INV-749641,STK0009,Desk Lamp,21,2023-03-06,25.0,10082,Ireland,9,Home
INV-835132,STK0005,Jeans,42,2023-02-08,39.0,10039,Ireland,5,Clothing
INV-221761,STK0002,Laptop,16,2024-04-09,999.0,10048,Belgium,2,Electronics
INV-539486,STK0010,Novel Book,48,2024-11-01,12.0,10013,Ireland,10,Books
INV-745558,STK0007,Blender,18,2024-03-30,45.0,10057,Netherlands,7,Home
INV-997004,STK0006,Sneakers,7,2025-07-12,79.0,10083,Spain,6,Clothing
INV-163491,STK0007,Blender,18,2025-05-18,45.0,10059,Germany,7,Home
INV-794963,STK0004,T-Shirt,42,2023-02-21,19.0,10043,Netherlands,4,Clothing
INV-232040,STK0010,Novel Book,14,2023-08-01,12.0,10076,Netherlands,10,Books
INV-952547,STK0004,T-Shirt,22,2024-09-02,19.0,10001,Norway,4,Clothing
INV-251716,STK0003,Headphones,35,2024-11-07,59.0,10004,France,3,Electronics
INV-115582,STK0006,Sneakers,16,2023-09-29,0.0,10007,France,6,Clothing
INV-877747,STK0007,Blender,34,2024-04-04,45.0,10100,Spain,7,Home
INV-638169,STK0010,Novel Book,7,2024-09-21,12.0,10006,Belgium,10,Books
INV-416282,STK0008,Toaster,42,2024-05-05,35.0,10052,Italy,8,Home
INV-819425,STK0002,Laptop,32,2025-07-09,999.0,10011,Spain,2,Electronics
INV-737846,STK0003,Headphones,5,2024-08-22,59.0,10071,Spain,3,Electronics
INV-499407,STK0010,Novel Book,34,2024-03-16,12.0,10013,Germany,10,Books
INV-994217,STK0009,Desk Lamp,47,2025-06-28,25.0,10030,Italy,9,Home
INV-455395,STK0008,Toaster,26,2024-03-13,35.0,10041,Norway,8,Home
INV-492483,STK0003,Headphones,44,2025-05-01,59.0,10011,Germany,3,Electronics
INV-552855,STK0002,Laptop,48,2024-07-23,999.0,10008,Portugal,2,Electronics
INV-688866,STK0009,Desk Lamp,22,2025-06-13,25.0,10086,Italy,9,Home
INV-856086,STK0001,Smartphone,19,2024-08-14,499.0,10065,Netherlands,1,Electronics
INV-262246,STK0008,Toaster,15,2024-07-23,35.0,10048,Germany,8,Home
INV-899649,STK0005,Jeans,37,2024-07-28,39.0,10099,Portugal,5,Clothing
INV-743378,STK0009,Desk Lamp,2,2024-12-11,25.0,10035,United Kingdom,9,Home
INV-289179,STK0005,Jeans,45,2023-12-26,39.0,10001,France,5,Clothing
INV-250210,STK0010,Novel Book,43,2024-10-10,12.0,10004,Germany,10,Books
INV-882354,STK0009,Desk Lamp,14,2023-06-11,25.0,10048,Norway,9,Home
INV-856648,STK0006,Sneakers,50,2025-06-23,79.0,10007,France,6,Clothing
INV-265056,STK0010,Novel Book,4,2024-11-08,12.0,10055,Ireland,10,Books
INV-736565,STK0008,Toaster,27,2023-04-27,35.0,10045,Italy,8,Home
INV-216276,STK0005,Jeans,44,2024-11-14,39.0,10040,United Kingdom,5,Clothing
INV-331230,STK0007,Blender,39,2023-08-05,45.0,10099,France,7,Home
INV-901280,STK0005,Jeans,19,2025-02-03,0.0,10056,France,5,Clothing
INV-235461,STK0007,Blender,35,2025-05-03,45.0,10086,Spain,7,Home
INV-175576,STK0007,Blender,48,2025-08-01,0.0,10010,Spain,7,Home
INV-703727,STK0007,Blender,37,2023-10-24,45.0,10015,Italy,7,Home
INV-121869,STK0006,Sneakers,11,2025-05-01,79.0,10089,Spain,6,Clothing
INV-192410,STK0007,Blender,7,2024-06-20,45.0,10011,Italy,7,Home
INV-425346,STK0006,Sneakers,15,2024-06-06,79.0,10082,Germany,6,Clothing
INV-656379,STK0009,Desk Lamp,13,2025-01-14,25.0,10083,France,9,Home
INV-347745,STK0002,Laptop,10,2023-06-06,999.0,10098,Germany,2,Electronics
INV-285751,STK0008,Toaster,30,2024-04-04,35.0,10088,Portugal,8,Home
INV-774225,STK0010,Novel Book,21,2023-06-04,12.0,10057,Germany,10,Books
INV-591699,STK0008,Toaster,41,2023-02-27,35.0,10046,Belgium,8,Home
INV-177794,STK0005,Jeans,30,2025-05-01,39.0,10037,Germany,5,Clothing
INV-775981,STK0002,Laptop,40,2024-08-17,999.0,10071,United Kingdom,2,Electronics
INV-571579,STK0010,Novel Book,42,2024-05-28,12.0,10020,United Kingdom,10,Books
INV-572407,STK0002,Laptop,22,2024-10-23,999.0,10023,United Kingdom,2,Electronics
INV-359778,STK0008,Toaster,29,2024-01-08,35.0,10048,Norway,8,Home
INV-506235,STK0007,Blender,50,2025-03-19,45.0,10081,Spain,7,Home
INV-169113,STK0006,Sneakers,7,2023-09-16,79.0,10093,Portugal,6,Clothing
INV-257677,STK0006,Sneakers,6,2023-12-25,79.0,10040,Italy,6,Clothing
INV-235215,STK0010,Novel Book,46,2024-01-21,12.0,10083,Spain,10,Books
INV-952686,STK0003,Headphones,43,2024-12-02,59.0,10068,Germany,3,Electronics
INV-777406,STK0007,Blender,33,2023-07-04,45.0,10028,Spain,7,Home
INV-903373,STK0008,Toaster,13,2023-03-21,35.0,10038,Germany,8,Home
INV-632351,STK0009,Desk Lamp,48,2023-12-11,25.0,10099,Portugal,9,Home
INV-237414,STK0010,Novel Book,25,2024-12-10,12.0,10099,Portugal,10,Books
INV-948343,STK0003,Headphones,47,2024-11-23,59.0,10093,Netherlands,3,Electronics
INV-565776,STK0010,Novel Book,19,2023-08-28,12.0,10069,Netherlands,10,Books
INV-424500,STK0008,Toaster,13,2024-03-27,35.0,10060,Norway,8,Home
INV-915922,STK0007,Blender,33,2025-04-16,45.0,10026,Portugal,7,Home
INV-245121,STK0005,Jeans,4,2024-07-21,39.0,10014,Belgium,5,Clothing
INV-992512,STK0002,Laptop,19,2024-04-05,999.0,10066,France,2,Electronics
INV-971415,STK0007,Blender,6,2024-04-06,45.0,10045,United Kingdom,7,Home
INV-535050,STK0001,Smartphone,26,2023-03-25,499.0,10048,Netherlands,1,Electronics
INV-129556,STK0006,Sneakers,7,2025-03-21,79.0,10019,France,6,Clothing
INV-140163,STK0005,Jeans,31,2024-12-23,39.0,10061,Ireland,5,Clothing
INV-745239,STK0001,Smartphone,-6,2023-06-03,499.0,10071,Portugal,1,Electronics
INV-653408,STK0007,Blender,8,2023-05-05,45.0,10007,Netherlands,7,Home
INV-540218,STK0010,Novel Book,30,2024-05-26,12.0,10077,Belgium,10,Books
INV-117233,STK0009,Desk Lamp,37,2024-03-15,25.0,10001,Portugal,9,Home
INV-469954,STK0004,T-Shirt,37,2023-03-29,19.0,10068,Spain,4,Clothing
INV-170966,STK0009,Desk Lamp,35,2024-07-21,25.0,10003,Italy,9,Home
INV-592972,STK0001,Smartphone,41,2025-02-04,499.0,10003,Spain,1,Electronics
INV-926823,STK0002,Laptop,23,2023-04-17,999.0,10099,Portugal,2,Electronics
INV-870899,STK0006,Sneakers,9,2025-04-13,79.0,10083,France,6,Clothing
INV-970720,STK0008,Toaster,45,2023-05-19,35.0,10009,Ireland,8,Home
INV-138780,STK0005,Jeans,13,2023-02-12,39.0,10041,Norway,5,Clothing
INV-640418,STK0007,Blender,35,2024-10-24,45.0,10025,Norway,7,Home
INV-474314,STK0001,Smartphone,42,2024-01-12,499.0,10056,Italy,1,Electronics
INV-879414,STK0008,Toaster,25,2024-12-09,35.0,10064,Spain,8,Home
INV-936020,STK0009,Desk Lamp,18,2023-03-22,25.0,10056,Portugal,9,Home
INV-962287,STK0003,Headphones,35,2023-12-02,59.0,10085,Norway,3,Electronics
INV-421384,STK0008,Toaster,39,2024-03-30,35.0,10045,Ireland,8,Home
INV-144412,STK0006,Sneakers,40,2025-03-21,79.0,10008,Germany,6,Clothing
INV-803787,STK0007,Blender,24,2023-06-13,45.0,10004,France,7,Home
INV-989894,STK0010,Novel Book,44,2023-03-10,12.0,10031,Spain,10,Books
INV-479742,STK0007,Blender,37,2024-04-05,45.0,10048,Spain,7,Home
INV-565504,STK0002,Laptop,37,2023-11-18,999.0,10084,Norway,2,Electronics
INV-361736,STK0002,Laptop,2,2024-02-01,999.0,10072,Germany,2,Electronics
INV-374492,STK0005,Jeans,46,2023-10-20,39.0,10089,Ireland,5,Clothing
INV-309902,STK0002,Laptop,9,2025-07-09,999.0,10092,Ireland,2,Electronics
INV-192055,STK0006,Sneakers,43,2024-07-09,79.0,10038,Norway,6,Clothing
INV-992717,STK0003,Headphones,46,2023-06-28,59.0,10047,Belgium,3,Electronics
INV-335134,STK0002,Laptop,13,2024-05-20,999.0,10004,Spain,2,Electronics
INV-680933,STK0010,Novel Book,24,2023-05-13,12.0,10079,Germany,10,Books
INV-168941,STK0005,Jeans,26,2024-06-22,39.0,10053,Italy,5,Clothing
INV-963333,STK0010,Novel Book,5,2023-03-17,12.0,10058,Ireland,10,Books
INV-813145,STK0009,Desk Lamp,23,2024-07-18,25.0,10082,Portugal,9,Home
INV-290802,STK0003,Headphones,28,2025-05-01,59.0,10016,Belgium,3,Electronics
INV-260448,STK0005,Jeans,11,2023-08-19,39.0,10045,Belgium,5,Clothing
INV-397846,STK0002,Laptop,17,2023-10-09,999.0,10017,Norway,2,Electronics
INV-744274,STK0009,Desk Lamp,6,2024-08-17,25.0,10020,France,9,Home
INV-790731,STK0010,Novel Book,47,2025-08-04,12.0,10073,United Kingdom,10,Books
INV-965322,STK0001,Smartphone,6,2024-08-13,499.0,10034,Netherlands,1,Electronics
INV-904214,STK0010,Novel Book,27,2025-06-29,12.0,10081,Belgium,10,Books
INV-403742,STK0005,Jeans,31,2024-02-20,39.0,10039,Ireland,5,Clothing
INV-176517,STK0001,Smartphone,11,2023-07-28,499.0,10044,Portugal,1,Electronics
INV-250647,STK0006,Sneakers,46,2023-12-20,79.0,10052,France,6,Clothing
INV-897615,STK0006,Sneakers,33,2024-04-22,79.0,10016,Norway,6,Clothing
INV-571435,STK0004,T-Shirt,10,2024-01-29,19.0,10079,Italy,4,Clothing
INV-360330,STK0003,Headphones,21,2023-07-14,59.0,10098,France,3,Electronics
INV-622469,STK0009,Desk Lamp,30,2023-01-24,25.0,10012,Italy,9,Home
INV-629996,STK0008,Toaster,16,2023-02-21,35.0,10037,Ireland,8,Home
INV-726543,STK0008,Toaster,19,2024-03-17,35.0,10018,Norway,8,Home
INV-862847,STK0006,Sneakers,49,2023-02-22,79.0,10073,Belgium,6,Clothing
INV-304110,STK0006,Sneakers,36,2024-04-06,79.0,10098,Belgium,6,Clothing
INV-393308,STK0010,Novel Book,44,2023-04-10,12.0,10051,Spain,10,Books
INV-933510,STK0006,Sneakers,36,2023-07-23,79.0,10078,Belgium,6,Clothing
INV-520884,STK0009,Desk Lamp,3,2023-12-08,25.0,10061,Belgium,9,Home
INV-579187,STK0003,Headphones,39,2025-08-11,59.0,10079,Spain,3,Electronics
INV-270395,STK0007,Blender,40,2023-12-11,45.0,10065,Belgium,7,Home
INV-658198,STK0008,Toaster,46,2023-01-18,35.0,10048,Spain,8,Home
INV-806537,STK0002,Laptop,27,2025-01-12,999.0,10089,United Kingdom,2,Electronics
INV-725905,STK0008,Toaster,17,2025-03-05,35.0,10075,Portugal,8,Home
INV-338596,STK0001,Smartphone,38,2025-01-08,499.0,10080,Italy,1,Electronics
INV-254954,STK0004,T-Shirt,3,2023-07-15,19.0,10003,Ireland,4,Clothing
INV-428930,STK0007,Blender,10,2024-05-28,45.0,10100,Portugal,7,Home
INV-594514,STK0001,Smartphone,46,2023-11-29,499.0,10085,Ireland,1,Electronics
INV-651002,STK0007,Blender,21,2024-06-29,45.0,10044,Belgium,7,Home
INV-471496,STK0005,Jeans,40,2023-10-13,39.0,10072,Norway,5,Clothing
INV-335790,STK0005,Jeans,50,2024-12-22,39.0,10063,Spain,5,Clothing
INV-603110,STK0006,Sneakers,36,2023-10-08,79.0,10037,Germany,6,Clothing
INV-701334,STK0009,Desk Lamp,25,2023-12-20,25.0,10099,France,9,Home
INV-404561,STK0001,Smartphone,19,2025-08-04,499.0,10057,Norway,1,Electronics
INV-883641,STK0008,Toaster,14,2024-07-29,35.0,10090,Norway,8,Home
INV-243941,STK0002,Laptop,40,2023-02-21,999.0,10086,Belgium,2,Electronics
INV-336633,STK0004,T-Shirt,4,2024-04-28,19.0,10013,France,4,Clothing
INV-105433,STK0009,Desk Lamp,11,2025-06-18,25.0,10061,Ireland,9,Home
INV-782139,STK0004,T-Shirt,49,2024-10-23,19.0,10008,Germany,4,Clothing
INV-783984,STK0010,Novel Book,15,2023-02-08,12.0,10023,Italy,10,Books
INV-978292,STK0003,Headphones,3,2024-05-22,59.0,10024,Norway,3,Electronics
INV-139286,STK0001,Smartphone,20,2023-12-10,499.0,10037,Ireland,1,Electronics
INV-772464,STK0009,Desk Lamp,34,2025-05-21,25.0,10065,Ireland,9,Home
INV-386090,STK0004,T-Shirt,8,2024-10-25,19.0,10033,France,4,Clothing
INV-114768,STK0006,Sneakers,19,2023-06-29,79.0,10079,Italy,6,Clothing
INV-967161,STK0007,Blender,33,2023-04-08,45.0,10024,France,7,Home
INV-600646,STK0006,Sneakers,-16,2024-04-02,79.0,10097,Norway,6,Clothing
INV-445637,STK0005,Jeans,38,2024-10-31,0.0,10047,Netherlands,5,Clothing
INV-165142,STK0002,Laptop,30,2024-05-29,999.0,10091,Norway,2,Electronics
INV-823821,STK0002,Laptop,41,2024-09-21,999.0,10029,Netherlands,2,Electronics
INV-240057,STK0008,Toaster,10,2024-01-18,35.0,10054,Belgium,8,Home
INV-593699,STK0009,Desk Lamp,43,2024-11-27,25.0,10097,Portugal,9,Home
INV-925618,STK0002,Laptop,34,2023-03-21,999.0,10073,Germany,2,Electronics
INV-164758,STK0009,Desk Lamp,33,2023-06-18,25.0,10042,Belgium,9,Home
INV-563303,STK0002,Laptop,44,2023-04-04,999.0,10066,Ireland,2,Electronics
INV-947975,STK0001,Smartphone,30,2024-07-31,499.0,10008,Belgium,1,Electronics
